xihao,0£¨0h£©,1£¨0.5h£©,2(1h),3(1.5h),4(2h),5(4h),6(6h),7(8h),8(10h),9(12h),10(16h),11(20h),12(24h£©,13(30h),14(36h)
P1,5.00E+03,4.61E+06,6.10E+06,4.67E+06,2.36E+06,1.04E+07,2.20E+08,2.68E+08,1.93E+08,5.99E+08,1.94E+09,1.01E+10,1.32E+10,3.18E+09,7.78E+09
P2,5.00E+03,5.98E+04,8.87E+04,6.78E+04,6.08E+04,2.29E+05,4.23E+05,9.07E+06,5.26E+08,3.54E+09,1.73E+09,8.23E+09,1.70E+10,1.01E+09,4.73E+08
P3,5.00E+03,3.49E+06,2.92E+06,5.55E+06,1.20E+07,2.87E+07,5.59E+07,6.89E+08,9.67E+08,1.94E+09,4.89E+09,5.41E+09,7.39E+09,1.71E+10,7.05E+09
P4,5.00E+03,1.09E+06,6.97E+05,3.69E+05,1.72E+06,3.21E+06,1.27E+07,7.01E+07,1.94E+08,4.17E+08,4.37E+08,3.31E+09,1.47E+10,1.11E+11,3.46E+09
P5,5.00E+03,6.01E+04,8.44E+04,1.61E+05,5.89E+05,4.83E+05,1.62E+06,5.32E+06,2.87E+08,3.01E+08,9.86E+08,2.65E+09,5.43E+09,2.41E+09,8.69E+09
P6,5.00E+03,7.45E+04,5.30E+04,5.75E+04,5.60E+04,1.27E+05,2.53E+05,8.24E+06,4.85E+08,5.05E+08,2.20E+09,2.50E+09,1.03E+10,8.35E+09,6.20E+10
P7,5.00E+03,1.93E+06,2.25E+06,1.75E+06,2.37E+06,2.81E+07,8.48E+07,2.16E+08,1.91E+08,1.65E+08,4.34E+08,3.61E+09,7.05E+09,6.97E+09,6.96E+09
P8,5.00E+03,3.14E+04,7.68E+04,5.81E+04,5.80E+04,2.36E+05,4.67E+06,3.33E+07,7.95E+07,1.50E+08,3.17E+08,3.93E+09,3.37E+09,1.22E+10,3.61E+09
P9,5.00E+03,7.94E+04,8.92E+04,7.01E+04,1.55E+05,3.39E+05,3.57E+06,6.20E+07,1.13E+08,5.14E+08,9.57E+08,1.49E+09,2.28E+09,2.48E+09,1.67E+10
P10,5.00E+03,5.82E+04,4.75E+04,3.04E+04,2.93E+04,1.07E+05,5.46E+06,7.01E+07,1.56E+09,1.22E+09,2.93E+09,3.38E+09,1.39E+10,4.03E+09,7.91E+08
P11,5.00E+03,2.36E+06,3.70E+06,5.19E+06,3.76E+06,3.49E+07,7.90E+07,4.16E+08,8.46E+08,8.97E+08,6.33E+09,1.06E+10,1.18E+10,4.16E+09,2.87E+09
P12,5.00E+03,2.10E+06,5.74E+06,3.92E+06,2.48E+06,2.85E+07,7.75E+07,5.45E+08,7.88E+08,1.61E+09,1.31E+10,4.31E+10,7.39E+09,4.86E+10,6.67E+09
P13,5.00E+03,2.45E+06,3.26E+06,4.36E+06,5.02E+06,3.51E+07,1.08E+08,4.61E+08,4.69E+08,4.71E+08,1.10E+09,6.53E+09,1.74E+09,1.76E+10,7.93E+09
P14,5.00E+03,5.04E+06,3.11E+06,4.62E+06,3.43E+06,2.66E+07,2.60E+07,6.50E+08,7.44E+08,1.28E+09,3.25E+09,5.17E+09,8.90E+10,5.31E+09,6.89E+09
P15,5.00E+03,3.97E+06,4.73E+06,3.64E+06,5.99E+06,1.34E+07,2.98E+07,4.73E+08,1.78E+09,5.13E+09,6.62E+09,3.77E+09,8.52E+09,2.58E+09,1.12E+10
