xihao,0£¨0h£©,1£¨0.5h£©,2(1h),3(1.5h),4(2h),5(4h),6(6h),7(8h),8(10h),9(12h),10(16h),11(20h),12(24h£©,13(30h),14(36h)
D1,5.00E+03,6.92E+05,1.19E+06,4.35E+06,3.53E+06,3.91E+08,4.88E+08,8.75E+09,1.31E+10,7.68E+09,1.25E+10,7.60E+11,4.39E+11,1.95E+11,5.05E+11
D2,5.00E+03,3.81E+06,1.54E+07,1.60E+07,3.75E+07,4.49E+08,2.07E+09,1.62E+10,6.89E+10,1.72E+10,2.18E+10,3.17E+10,1.27E+10,9.57E+09,9.73E+09
D3,5.00E+03,1.66E+06,1.70E+06,9.47E+05,3.24E+06,2.54E+06,3.05E+07,8.00E+08,2.02E+10,1.23E+10,2.27E+10,9.66E+10,4.12E+11,2.40E+11,2.01E+11
D4,5.00E+03,1.23E+08,5.10E+08,1.96E+09,7.52E+09,1.09E+11,5.92E+09,3.11E+09,1.35E+10,8.32E+09,8.80E+09,1.52E+10,5.27E+09,3.35E+09,1.46E+09
D5,5.00E+03,2.75E+06,1.04E+06,1.29E+06,5.90E+06,3.04E+07,6.47E+07,4.91E+08,2.23E+09,2.07E+09,2.62E+10,6.75E+10,1.89E+11,2.13E+11,8.40E+10
D6,5.00E+03,2.12E+07,3.72E+06,2.24E+07,1.21E+07,2.13E+06,6.58E+07,8.21E+08,1.99E+09,1.38E+10,1.60E+10,1.52E+11,2.72E+11,1.72E+11,4.69E+11
D7,5.00E+03,1.93E+07,2.41E+07,3.74E+06,1.60E+07,9.34E+07,5.43E+09,5.83E+09,1.61E+10,1.88E+11,2.94E+10,4.05E+11,3.24E+11,2.14E+11,5.01E+12
D8,5.00E+03,9.58E+05,5.65E+05,6.07E+05,3.68E+06,1.08E+08,1.24E+09,3.14E+09,3.13E+09,9.78E+09,1.70E+10,3.56E+10,6.46E+10,3.12E+10,3.32E+11
D9,5.00E+03,1.12E+06,2.48E+06,2.52E+04,1.24E+06,8.83E+06,1.35E+09,3.56E+09,1.89E+10,1.19E+10,7.32E+10,4.00E+10,3.81E+10,4.74E+11,4.28E+11
D10,5.00E+03,5.14E+05,2.74E+05,1.45E+06,2.45E+06,8.87E+06,2.80E+08,4.40E+09,1.75E+10,4.33E+09,2.20E+10,4.58E+10,1.70E+10,6.65E+10,2.51E+10
