xihao,0£¨0h£©,1£¨0.5h£©,2(1h),3(1.5h),4(2h),5(4h),6(6h),7(8h),8(10h),9(12h),10(16h),11(20h),12(24h£©,13(30h),14(36h)
P1,5.00E+03,4.11E+05,4.64E+05,5.80E+04,1.88E+05,5.43E+05,2.33E+06,3.12E+06,3.77E+06,4.79E+06,1.67E+06,2.99E+06,8.36E+05,1.73E+06,3.28E+08
P2,5.00E+03,3.11E+04,1.33E+06,2.35E+05,2.60E+05,1.48E+06,8.44E+06,2.99E+08,4.93E+08,7.31E+08,8.76E+08,4.53E+08,5.73E+08,6.57E+08,6.22E+08
P3,5.00E+03,2.23E+05,4.50E+05,2.36E+05,2.79E+05,1.25E+06,5.15E+07,8.14E+06,1.18E+08,3.85E+08,1.73E+10,2.10E+08,3.41E+08,5.40E+08,6.43E+08
P4,5.00E+03,8.89E+04,1.30E+06,7.40E+04,1.44E+05,5.85E+06,8.11E+07,1.12E+09,5.48E+08,9.87E+08,8.68E+08,3.35E+08,4.50E+08,3.69E+08,7.80E+08
P5,5.00E+03,3.10E+05,1.64E+05,3.30E+05,3.57E+05,9.38E+05,2.10E+06,7.89E+06,3.01E+07,3.91E+08,1.21E+10,3.25E+09,8.40E+09,3.45E+10,3.45E+10
P6,5.00E+03,7.64E+06,2.39E+07,1.54E+07,1.76E+06,1.55E+06,9.95E+05,2.09E+07,2.04E+07,1.98E+08,2.66E+10,2.45E+10,4.30E+10,6.55E+09,5.67E+09
P7,5.00E+03,1.80E+06,4.38E+05,7.60E+05,1.14E+06,3.59E+05,5.77E+07,3.03E+07,1.03E+09,3.32E+09,6.52E+10,2.42E+10,3.34E+10,9.86E+10,7.86E+10
P8,5.00E+03,2.02E+05,1.12E+05,1.02E+05,1.21E+05,9.13E+04,2.16E+05,2.20E+05,1.87E+07,1.97E+08,2.54E+09,6.42E+07,1.09E+09,3.97E+08,3.13E+08
P9,5.00E+03,3.30E+05,1.84E+05,9.92E+04,5.04E+05,4.00E+05,4.17E+06,1.81E+07,1.41E+09,1.74E+10,3.42E+09,7.68E+07,6.98E+07,7.67E+07,7.96E+07
P10,5.00E+03,9.38E+04,1.77E+06,1.19E+05,2.17E+05,2.35E+05,1.40E+06,1.27E+07,1.86E+09,7.68E+09,7.01E+10,6.49E+08,5.67E+08,2.43E+08,3.12E+08
P11,5.00E+03,7.25E+04,1.40E+05,1.15E+06,7.98E+04,8.71E+04,6.50E+05,3.05E+06,2.19E+08,4.17E+08,4.79E+08,1.50E+08,1.10E+08,1.59E+08,2.82E+08
P12,5.00E+03,8.39E+05,1.96E+06,1.78E+06,2.24E+05,4.20E+05,1.20E+06,2.02E+06,1.54E+08,2.07E+09,5.78E+08,2.34E+08,3.25E+08,4.50E+08,1.48E+09
