xihao,0£¨0h£©,1£¨0.5h£©,2(1h),3(1.5h),4(2h),5(4h),6(6h),7(8h),8(10h),9(12h),10(16h),11(20h),12(24h£©,13(30h),14(36h)
J1,5.00E+03,3.18E+04,3.71E+04,7.82E+04,1.09E+05,7.99E+05,9.41E+08,3.89E+09,1.76E+10,6.84E+10,5.85E+10,2.85E+10,1.13E+10,4.76E+09,1.12E+10
J2,5.00E+03,1.19E+06,1.50E+06,4.26E+06,3.34E+07,6.53E+08,1.08E+10,1.04E+11,3.11E+11,1.49E+12,1.47E+11,1.05E+11,3.68E+10,3.47E+10,1.28E+10
J3,5.00E+03,4.77E+04,1.08E+05,2.41E+05,1.89E+05,1.09E+05,6.28E+07,9.37E+07,2.71E+09,5.04E+09,3.24E+10,7.31E+08,1.11E+08,3.20E+09,3.95E+09
J4,5.00E+03,1.79E+04,1.08E+04,1.42E+05,1.56E+05,4.82E+07,8.32E+08,4.73E+09,7.24E+10,6.11E+10,6.19E+10,8.81E+10,1.91E+11,1.13E+11,1.72E+10
J5,5.00E+03,5.64E+05,7.43E+05,7.06E+05,5.47E+05,8.68E+05,3.49E+07,2.26E+08,2.69E+09,6.09E+09,7.90E+09,6.99E+09,3.57E+09,2.83E+09,9.45E+08
J6,5.00E+03,5.83E+04,4.25E+04,1.87E+04,6.23E+04,3.64E+05,6.00E+05,5.15E+07,7.30E+08,2.18E+09,1.66E+10,3.33E+08,5.28E+08,1.38E+09,4.59E+09
J7,5.00E+03,2.42E+05,1.02E+05,2.38E+06,1.09E+06,3.74E+05,2.18E+07,9.17E+06,4.81E+09,2.03E+10,4.36E+10,2.60E+09,1.40E+09,3.33E+09,4.04E+09
J8,5.00E+03,2.20E+04,5.74E+04,7.05E+04,3.32E+05,3.51E+05,5.50E+06,1.11E+08,9.76E+09,4.23E+09,2.71E+09,6.28E+09,3.20E+09,2.44E+09,4.05E+09
J9,5.00E+03,6.75E+04,2.28E+05,2.83E+05,4.35E+05,2.77E+06,1.40E+09,4.46E+09,6.78E+10,1.06E+10,7.94E+09,7.08E+09,3.41E+09,6.84E+09,2.24E+09
J10,5.00E+03,4.64E+05,1.01E+06,1.46E+06,6.06E+05,1.03E+07,5.74E+08,3.04E+09,1.43E+11,1.75E+09,1.35E+11,7.73E+10,1.57E+11,1.24E+10,7.00E+09
J11,5.00E+03,1.44E+05,6.89E+04,1.42E+05,4.47E+05,2.26E+06,1.18E+08,5.83E+08,1.90E+10,1.45E+09,6.36E+10,2.13E+10,5.07E+10,1.12E+11,6.71E+10
J12,5.00E+03,6.75E+04,1.50E+05,6.42E+04,3.78E+04,1.68E+07,3.09E+07,6.41E+06,6.57E+08,2.48E+10,1.80E+09,2.75E+10,2.60E+10,2.04E+10,8.55E+10
J13,5.00E+03,2.08E+04,9.54E+04,1.99E+05,9.70E+05,2.16E+05,8.93E+08,1.06E+10,2.20E+10,1.27E+10,2.11E+10,2.86E+10,2.11E+10,2.18E+10,3.50E+10
J14,5.00E+03,6.78E+04,1.53E+04,1.15E+05,5.90E+05,1.20E+07,5.97E+06,7.25E+09,1.12E+10,1.16E+10,3.42E+09,3.63E+10,1.55E+10,1.37E+10,1.36E+10
J15,5.00E+03,3.45E+04,4.50E+04,1.09E+05,1.80E+05,1.64E+07,6.98E+06,2.57E+09,1.14E+10,2.00E+10,4.87E+09,1.75E+10,1.86E+10,1.23E+10,3.56E+10
J16,5.00E+03,3.89E+04,1.36E+04,4.83E+04,2.58E+05,1.05E+06,4.94E+06,5.34E+06,2.71E+08,1.13E+09,1.30E+10,1.46E+10,2.20E+10,1.41E+10,9.40E+09
J17,5.00E+03,1.97E+05,9.23E+05,2.24E+06,3.25E+07,6.58E+07,1.74E+09,1.65E+10,9.88E+10,5.63E+10,3.99E+10,5.19E+10,2.20E+10,1.32E+11,4.57E+10
J18,5.00E+03,1.06E+05,4.60E+05,6.46E+05,2.06E+06,1.71E+07,3.86E+08,1.74E+09,4.15E+10,1.65E+10,2.29E+10,9.74E+10,6.40E+10,7.96E+10,1.00E+11
J19,5.00E+03,1.79E+04,1.28E+04,2.00E+05,6.73E+04,5.12E+06,1.70E+07,3.29E+09,1.12E+10,2.80E+10,2.93E+10,1.74E+10,2.80E+10,2.16E+10,4.40E+10
J20,5.00E+03,2.12E+05,1.83E+05,2.17E+04,1.46E+05,8.10E+04,1.02E+07,1.19E+08,1.33E+09,5.83E+09,9.31E+10,2.33E+11,1.45E+11,2.84E+11,2.70E+11
J21,5.00E+03,5.96E+05,1.02E+05,3.24E+05,1.97E+05,3.04E+06,1.28E+07,1.63E+08,2.55E+09,1.12E+11,6.93E+10,2.73E+11,2.50E+11,2.67E+11,8.24E+11
J22,5.00E+03,1.38E+05,6.70E+03,2.83E+04,2.08E+04,3.69E+06,3.95E+07,9.21E+08,1.69E+09,8.16E+10,8.14E+10,7.99E+11,4.98E+11,9.32E+11,6.30E+11
J23,5.00E+03,1.09E+05,1.18E+05,2.78E+05,2.51E+05,8.35E+06,1.49E+08,4.77E+09,4.89E+10,2.44E+12,7.80E+11,2.02E+12,3.49E+12,2.45E+12,1.20E+12
J24,5.00E+03,7.44E+04,2.79E+04,6.91E+04,8.43E+04,3.18E+05,2.42E+07,1.24E+09,5.49E+09,7.80E+10,2.70E+11,1.17E+11,2.69E+11,1.46E+11,4.19E+11
J25,5.00E+03,3.21E+05,1.01E+04,9.73E+04,1.11E+06,1.07E+05,8.52E+07,1.34E+08,1.01E+10,4.88E+10,1.73E+11,1.61E+11,1.16E+11,7.35E+10,2.30E+10
J26,5.00E+03,1.51E+05,8.21E+03,2.76E+04,7.38E+04,1.94E+05,8.08E+06,8.23E+07,2.82E+09,6.02E+10,1.33E+11,1.78E+11,1.48E+11,2.37E+11,9.82E+10
J27,5.00E+03,3.25E+05,1.83E+06,3.49E+06,5.78E+06,4.41E+04,1.49E+06,5.16E+06,1.55E+08,1.17E+09,7.02E+10,2.27E+11,4.90E+10,1.81E+10,8.33E+10
J28,5.00E+03,2.48E+05,1.40E+04,1.17E+04,7.44E+03,3.75E+05,4.97E+07,2.21E+08,1.18E+11,1.31E+11,2.74E+11,1.88E+11,5.10E+11,1.76E+11,1.13E+11
J29,5.00E+03,1.65E+05,1.27E+04,6.83E+03,8.81E+03,4.37E+04,4.01E+06,1.26E+07,3.52E+08,6.95E+09,1.10E+11,2.71E+11,9.25E+10,1.66E+11,6.24E+10
J30,5.00E+03,1.57E+05,4.10E+05,5.14E+06,6.24E+06,1.03E+06,8.09E+06,3.04E+09,3.18E+09,1.60E+10,1.96E+11,1.89E+11,1.64E+11,2.74E+11,1.21E+11
J31,5.00E+03,4.22E+03,3.15E+04,6.81E+04,1.83E+05,5.34E+05,3.68E+07,8.53E+08,1.81E+10,1.40E+11,1.03E+11,2.19E+11,1.84E+11,4.64E+11,2.46E+11
J32,5.00E+03,4.35E+03,3.25E+04,7.90E+04,1.57E+05,3.98E+06,4.79E+08,1.62E+09,1.55E+10,2.18E+11,2.04E+11,2.53E+11,3.72E+11,2.39E+11,3.17E+11
J33,5.00E+03,2.35E+04,2.03E+04,2.03E+04,6.83E+04,3.84E+05,6.77E+07,5.76E+08,1.24E+10,1.13E+11,2.77E+11,7.66E+10,1.62E+11,2.23E+11,1.28E+11
J34,5.00E+03,5.90E+03,9.77E+03,7.01E+04,4.04E+04,3.26E+05,8.59E+06,1.47E+08,4.45E+09,4.06E+10,2.97E+10,5.30E+10,5.92E+10,3.11E+10,4.94E+10
J35,5.00E+03,5.19E+04,6.46E+04,2.42E+05,1.49E+05,2.58E+06,3.55E+07,7.77E+08,1.09E+10,1.85E+10,2.00E+10,6.72E+09,8.56E+09,8.27E+09,3.98E+09
J36,5.00E+03,1.13E+03,9.75E+04,1.95E+05,6.93E+05,2.45E+06,6.26E+08,2.20E+09,1.12E+10,1.83E+10,2.92E+10,3.32E+10,4.92E+10,6.51E+10,9.34E+10
J37,5.00E+03,6.83E+04,1.08E+05,4.39E+05,1.43E+06,1.98E+07,4.24E+08,2.89E+09,9.87E+09,6.52E+09,9.15E+09,7.60E+09,2.33E+10,1.11E+10,1.65E+10
J38,5.00E+03,5.23E+04,6.33E+04,3.92E+04,1.23E+05,6.79E+05,1.73E+06,5.58E+07,4.27E+08,4.33E+09,3.86E+09,1.21E+10,1.29E+10,5.28E+08,5.63E+08
J39,5.00E+03,1.92E+04,9.21E+04,1.00E+06,4.80E+06,5.43E+07,1.08E+09,4.82E+09,5.39E+10,1.04E+11,6.86E+11,1.89E+10,1.89E+10,3.36E+10,3.53E+11
J40,5.00E+03,7.04E+07,2.50E+06,6.74E+06,9.74E+06,1.20E+08,3.97E+09,2.75E+10,8.17E+11,9.35E+11,4.36E+10,3.50E+10,5.24E+10,5.21E+10,2.42E+10
J41,5.00E+03,9.97E+05,1.16E+07,7.30E+06,2.96E+07,1.68E+08,3.07E+09,7.08E+10,3.74E+10,2.24E+10,2.37E+10,9.72E+10,6.48E+10,8.78E+08,4.70E+10
J42,5.00E+03,1.34E+06,9.72E+06,9.90E+06,3.37E+08,9.25E+08,2.03E+09,4.84E+10,4.65E+10,3.56E+10,9.20E+10,9.83E+10,4.95E+09,2.85E+11,8.56E+10
J43,5.00E+03,1.69E+06,3.50E+06,1.63E+07,7.39E+07,9.53E+08,4.26E+09,3.70E+10,5.38E+10,2.35E+10,1.63E+11,2.48E+11,1.90E+11,5.72E+10,4.49E+10
J44,5.00E+03,1.71E+06,1.89E+07,6.39E+07,3.73E+07,5.15E+08,1.79E+07,2.75E+10,9.93E+10,7.40E+09,6.90E+10,1.72E+11,2.37E+11,5.35E+11,3.45E+11
J45,5.00E+03,2.14E+06,1.37E+07,8.73E+06,4.25E+07,2.10E+08,6.01E+09,5.12E+10,7.33E+10,8.91E+10,2.77E+11,3.93E+10,4.87E+10,6.20E+09,7.03E+10
J46,5.00E+03,1.93E+05,2.72E+05,4.99E+05,7.00E+05,5.55E+08,1.08E+10,9.15E+10,2.04E+08,6.84E+07,6.82E+07,6.92E+07,3.08E+07,9.35E+06,6.67E+06
J47,5.00E+03,3.47E+06,1.37E+06,7.04E+06,4.18E+06,1.46E+08,2.66E+09,2.14E+10,2.12E+11,7.79E+10,1.88E+11,2.80E+11,1.73E+11,1.93E+11,7.63E+10
J48,5.00E+03,2.19E+06,9.14E+05,2.52E+06,1.87E+06,3.84E+07,8.59E+07,1.88E+09,3.12E+10,2.77E+09,4.54E+10,3.18E+10,1.96E+10,1.21E+12,1.30E+11
J49,5.00E+03,2.73E+05,3.74E+05,2.62E+06,1.01E+06,5.30E+06,8.85E+06,3.24E+09,4.02E+10,1.11E+10,3.76E+10,1.48E+09,2.14E+08,8.70E+07,5.04E+07
J50,5.00E+03,1.66E+06,8.65E+05,2.19E+06,2.48E+06,5.33E+07,2.05E+08,1.94E+09,3.29E+10,1.19E+10,1.60E+10,2.48E+10,1.03E+10,7.55E+09,1.11E+09
J51,5.00E+03,2.14E+06,1.33E+06,2.70E+06,5.24E+06,1.09E+07,3.59E+08,1.67E+09,9.40E+08,9.92E+09,5.33E+08,6.07E+10,5.51E+10,5.20E+10,4.80E+10
J52,5.00E+03,1.53E+06,1.31E+06,5.43E+05,7.56E+05,5.71E+06,2.39E+08,1.47E+09,1.58E+09,1.38E+09,1.18E+11,2.36E+11,9.76E+10,1.50E+11,1.94E+11
J53,5.00E+03,1.22E+05,1.54E+05,3.45E+05,5.29E+06,8.50E+06,8.06E+08,1.52E+10,1.38E+08,1.43E+08,6.77E+07,2.00E+07,8.40E+06,4.75E+06,2.90E+06
J54,5.00E+03,3.29E+06,6.91E+06,2.45E+07,4.81E+07,1.52E+08,4.44E+09,1.04E+11,2.91E+11,6.17E+10,1.45E+11,1.00E+11,1.40E+10,5.46E+08,1.06E+09
J55,5.00E+03,2.22E+05,3.49E+05,7.13E+06,1.37E+07,4.48E+08,1.25E+09,4.25E+10,1.08E+10,3.43E+10,4.92E+10,1.51E+09,6.19E+08,3.91E+08,7.43E+07
J56,5.00E+03,1.64E+06,3.97E+06,9.44E+06,1.97E+07,7.41E+08,1.97E+10,2.29E+11,4.45E+11,3.10E+11,2.86E+11,4.69E+11,7.50E+11,3.27E+11,9.41E+10
J57,5.00E+03,2.23E+05,9.60E+05,1.37E+05,1.38E+05,1.21E+06,3.44E+08,5.90E+09,4.26E+10,1.05E+11,2.95E+11,3.74E+11,3.36E+11,2.28E+11,1.90E+11
J58,5.00E+03,4.52E+05,3.66E+05,4.51E+05,5.58E+05,5.34E+06,1.64E+07,7.23E+07,3.65E+08,3.72E+09,7.44E+10,1.20E+11,1.48E+11,1.24E+11,4.65E+10
J59,5.00E+03,3.29E+05,1.40E+06,4.33E+05,9.69E+05,4.26E+06,2.45E+07,1.62E+08,3.39E+07,1.07E+08,1.09E+09,1.48E+11,1.12E+11,1.20E+11,3.25E+10
J60,5.00E+03,3.86E+05,1.41E+06,2.55E+05,6.91E+05,5.22E+06,3.35E+07,2.63E+08,3.50E+09,2.31E+10,6.66E+10,1.02E+11,1.12E+11,3.09E+10,7.49E+10
J61,5.00E+03,3.28E+05,3.30E+06,7.70E+05,1.73E+06,7.24E+06,5.15E+07,2.92E+09,3.31E+10,1.93E+11,1.37E+11,1.89E+11,2.66E+11,1.24E+11,9.65E+10
J62,5.00E+03,1.64E+06,4.07E+05,6.93E+05,5.50E+05,5.59E+06,6.00E+07,9.14E+07,4.60E+08,2.76E+09,1.30E+11,8.62E+10,1.12E+11,1.26E+11,8.51E+10
J63,5.00E+03,8.41E+05,7.92E+05,3.00E+05,9.73E+05,3.26E+07,8.89E+08,1.17E+10,1.13E+11,2.13E+11,1.12E+11,2.27E+11,2.62E+11,2.28E+11,2.15E+11
J64,5.00E+03,4.25E+05,3.28E+06,4.65E+06,1.30E+08,2.85E+09,1.69E+10,1.91E+10,2.33E+10,1.47E+10,2.95E+10,2.00E+10,1.95E+10,8.08E+09,5.71E+08
J65,5.00E+03,8.70E+05,2.72E+06,4.43E+06,9.46E+05,6.18E+06,8.51E+06,5.61E+08,6.27E+08,3.89E+09,1.38E+11,1.13E+11,2.29E+11,7.05E+10,7.11E+10
J66,5.00E+03,6.10E+06,9.68E+06,9.34E+06,1.05E+07,2.33E+07,4.01E+08,2.72E+09,2.98E+10,3.63E+10,8.48E+11,4.87E+10,2.73E+10,8.08E+09,3.10E+08
J67,5.00E+03,8.46E+06,1.63E+07,4.15E+07,1.21E+07,3.59E+07,5.40E+08,2.63E+09,2.03E+10,4.11E+10,1.71E+11,2.20E+11,3.34E+11,2.10E+11,1.55E+11
J68,5.00E+03,8.85E+06,4.36E+07,7.00E+06,2.03E+07,1.09E+07,4.78E+07,4.72E+08,1.18E+09,2.56E+09,6.97E+09,1.04E+10,6.68E+09,3.27E+08,1.34E+08
J69,5.00E+03,5.49E+06,7.21E+06,4.61E+07,4.58E+07,2.43E+07,4.70E+07,1.09E+08,3.42E+08,2.53E+09,2.44E+09,2.05E+10,1.73E+10,1.01E+10,8.89E+09
J70,5.00E+03,8.78E+06,7.67E+06,9.38E+06,1.13E+07,1.10E+07,4.91E+07,1.50E+08,1.50E+11,1.50E+10,2.09E+10,1.33E+10,7.81E+09,4.08E+09,4.78E+08
J71,5.00E+03,2.76E+05,2.84E+05,3.44E+05,2.52E+06,7.22E+06,1.53E+08,2.13E+09,6.00E+09,1.66E+10,5.55E+10,8.23E+10,7.00E+10,6.46E+10,6.30E+10
J72,5.00E+03,1.62E+06,2.05E+06,4.62E+06,6.16E+06,8.43E+07,4.67E+07,1.84E+08,4.88E+10,6.53E+10,6.32E+10,8.56E+10,9.99E+10,8.45E+10,5.50E+10
J73,5.00E+03,1.43E+06,1.92E+06,3.41E+06,8.33E+06,8.77E+07,7.87E+08,3.88E+09,7.16E+10,9.03E+10,2.26E+11,2.74E+11,2.12E+11,2.71E+11,1.72E+11
J74,5.00E+03,3.92E+05,4.86E+05,5.03E+05,2.00E+06,8.56E+05,8.86E+07,1.60E+08,2.17E+09,8.43E+09,5.38E+10,1.21E+11,1.17E+11,2.61E+11,1.45E+11
J75,5.00E+03,1.10E+06,6.16E+05,5.56E+05,9.68E+05,1.50E+07,3.48E+08,1.96E+09,7.82E+10,1.40E+11,1.63E+11,2.35E+11,2.95E+11,2.96E+11,3.20E+10
J76,5.00E+03,2.95E+05,5.50E+05,5.35E+05,1.08E+06,6.37E+06,3.31E+07,1.50E+08,8.08E+07,1.90E+09,3.36E+10,3.11E+10,4.86E+10,6.54E+10,2.79E+10
J77,5.00E+03,2.12E+05,1.05E+06,1.11E+06,1.98E+06,1.34E+07,4.69E+08,2.76E+09,1.09E+09,3.82E+10,3.52E+11,4.67E+11,4.10E+11,2.03E+11,1.63E+11
J78,5.00E+03,2.33E+05,3.12E+05,6.18E+05,2.78E+06,1.19E+07,5.61E+07,4.33E+08,1.45E+08,1.37E+10,4.41E+10,4.91E+10,5.78E+10,6.07E+10,5.22E+10
J79,5.00E+03,1.32E+05,4.39E+05,9.33E+05,1.15E+06,8.12E+06,4.29E+07,3.44E+08,1.25E+08,2.52E+09,2.70E+10,5.98E+10,6.10E+10,5.33E+10,5.37E+10
J80,5.00E+03,2.26E+05,4.52E+05,7.25E+05,8.09E+05,4.21E+06,7.81E+06,8.69E+07,1.91E+07,4.92E+09,1.35E+10,2.63E+10,6.26E+09,6.27E+10,8.14E+09
J81,5.00E+03,3.12E+05,4.32E+05,5.17E+05,1.05E+06,5.13E+06,1.18E+06,2.12E+08,3.89E+09,5.15E+09,5.20E+10,6.04E+10,5.35E+10,3.49E+10,6.82E+10
J82,5.00E+03,3.90E+05,8.77E+05,5.56E+05,7.88E+05,1.50E+06,1.74E+08,6.76E+08,9.29E+09,1.83E+10,7.98E+10,8.70E+10,8.01E+10,4.06E+10,8.23E+10
J83,5.00E+03,2.40E+05,1.04E+06,4.37E+05,2.35E+06,4.21E+07,1.17E+09,2.99E+09,8.43E+10,1.17E+11,1.97E+11,1.01E+11,4.88E+10,9.86E+10,6.69E+10
J84,5.00E+03,7.69E+05,2.51E+06,1.00E+06,6.80E+06,1.90E+08,1.42E+09,1.35E+10,3.59E+10,3.97E+10,5.58E+10,6.63E+10,7.13E+10,8.67E+09,1.59E+08
J85,5.00E+03,6.09E+05,2.13E+06,2.18E+06,5.58E+06,6.36E+07,8.07E+08,3.06E+09,4.24E+10,4.94E+10,7.60E+10,6.26E+10,6.92E+10,6.88E+10,1.15E+10
J86,5.00E+03,4.04E+05,7.61E+05,1.71E+06,1.05E+06,9.03E+06,3.54E+08,2.09E+09,5.59E+09,9.14E+09,4.70E+10,2.73E+11,2.98E+11,3.01E+11,4.55E+11
J87,5.00E+03,2.18E+05,1.54E+06,1.84E+05,1.61E+06,6.57E+06,8.94E+05,6.18E+09,6.73E+09,7.49E+09,1.24E+11,2.40E+11,4.01E+11,8.77E+10,6.90E+10
J88,5.00E+03,2.28E+05,3.58E+05,1.44E+06,2.15E+06,3.24E+07,2.97E+08,7.26E+08,4.77E+09,4.96E+09,1.01E+11,7.50E+10,7.24E+10,9.74E+09,2.77E+09
J89,5.00E+03,1.56E+06,2.33E+06,1.04E+07,1.84E+07,3.31E+08,3.45E+09,1.58E+10,2.04E+11,5.13E+11,2.65E+11,3.45E+11,1.92E+10,1.94E+11,3.30E+10
J90,5.00E+03,1.74E+05,9.65E+05,6.63E+05,9.93E+05,2.73E+05,7.89E+08,2.92E+10,8.61E+10,9.73E+10,1.29E+11,2.90E+10,1.48E+10,7.41E+09,4.16E+09
J91,5.00E+03,2.08E+06,1.73E+06,2.16E+06,1.82E+07,4.68E+08,1.93E+10,2.03E+11,6.38E+10,1.34E+11,1.77E+11,6.18E+10,1.18E+11,8.81E+10,3.12E+08
J92,5.00E+03,1.75E+05,2.25E+05,2.51E+05,3.46E+05,1.93E+06,4.91E+07,7.71E+08,3.20E+09,1.60E+10,1.32E+10,3.05E+10,1.77E+10,2.45E+10,6.02E+08
J93,5.00E+03,2.09E+05,3.57E+05,1.65E+06,3.83E+06,2.00E+07,2.24E+08,5.14E+09,1.39E+10,2.92E+10,3.21E+10,2.60E+10,3.06E+10,8.85E+09,2.99E+09
J94,5.00E+03,2.07E+06,2.51E+06,5.84E+06,8.58E+06,4.99E+08,5.74E+09,1.91E+11,1.27E+11,1.19E+11,1.44E+11,1.08E+11,8.69E+10,6.70E+10,6.56E+10
J95,5.00E+03,5.86E+05,7.98E+05,8.14E+05,1.43E+06,6.63E+06,4.78E+09,2.93E+10,3.12E+10,3.95E+10,4.94E+10,3.04E+10,2.70E+10,2.39E+10,1.28E+10
J96,5.00E+03,1.04E+06,1.26E+06,3.73E+06,1.10E+07,8.40E+07,1.99E+09,1.40E+10,6.63E+10,1.36E+11,2.64E+11,3.30E+11,1.07E+11,9.81E+10,4.99E+10
J97,5.00E+03,5.96E+05,6.07E+05,1.44E+06,1.60E+06,2.66E+07,2.41E+08,4.22E+09,1.50E+10,3.11E+10,4.07E+10,4.37E+10,6.29E+10,7.48E+10,9.01E+10
J98,5.00E+03,4.97E+05,6.40E+05,2.18E+06,2.26E+06,4.88E+07,2.05E+09,3.62E+10,6.73E+10,7.22E+10,1.04E+11,1.17E+11,9.75E+10,6.11E+10,7.94E+09
